Benchmark;Filtered Out;Found
.\hyperText
table-Assorted-between.csv;0;43
table-Assorted-nested-between.csv;0;24
table-bech1-above.csv;0;6
table-bech1-between.csv;0;152
table-bech1-nested-between.csv;0;4
table-bech2-above.csv;0;29
table-bech2-between.csv;0;728
table-bech2-nested-above.csv;0;7
table-bech2-nested-between.csv;0;27
table-bech3-above.csv;0;82
table-bech3-between.csv;0;968
table-bech3-nested-above.csv;0;10
table-bech3-nested-between.csv;0;47
table-bro-above.csv;0;9
table-bro-between.csv;0;205
table-home-brewed-above.csv;0;4
table-home-brewed-between.csv;0;53
table-internetSources-above.csv;0;2
table-internetSources-between.csv;0;167
table-internetSources-nested-between.csv;0;65
table-MSInternal-between.csv;0;15
table-regexes-above.csv;0;2
table-regexes-between.csv;0;140
table-regexes-nested-between.csv;0;43
table-sagan-between.csv;0;9
table-snort-above.csv;0;41
table-snort-between.csv;0;411
table-snort-nested-above.csv;0;12
table-snort-nested-between.csv;0;8
table-stackoverflow-above.csv;1;43
table-stackoverflow-between.csv;17;1190
table-stackoverflow-nested-above.csv;0;5
table-stackoverflow-nested-between.csv;3;195
table-TrustPort-between.csv;0;375
table-TrustPort-nested-between.csv;0;12
table-Twain-between.csv;0;2
table-uniq-above.csv;0;26
table-uniq-between.csv;6;2802
table-uniq-nested-above.csv;0;4
table-uniq-nested-between.csv;1;263
table-uniq-toobig.csv;0;1
table-yang2010-between.csv;0;101
table-yang2010-nested-between.csv;0;3
