Benchmarks;Patterns
analysis-vuln;0
Assorted-between;30
Assorted-nested-between;17
bech1-above;3
bech1-between;74
bech1-nested-between;2
bech2-above;23
bech2-between;669
bech2-nested-above;3
bech2-nested-between;27
bech3-above;65
bech3-between;728
bech3-nested-above;4
bech3-nested-between;42
bro-above;9
bro-between;185
home-brewed-above;3
home-brewed-between;35
internetSources-above;1
internetSources-between;96
internetSources-nested-between;39
MSInternal-between;15
regexes-above;1
regexes-between;69
regexes-nested-between;19
sagan-between;8
snort-above;26
snort-between;239
snort-nested-above;6
snort-nested-between;5
stackoverflow-above;43
stackoverflow-between;1155
stackoverflow-nested-above;5
stackoverflow-nested-between;188
TrustPort-between;375
TrustPort-nested-between;12
Twain-between;2
uniq-above;26
uniq-between;2758
uniq-nested-above;4
uniq-nested-between;255
uniq-toobig;1
yang2010-between;79
yang2010-nested-between;3
